Job_Title,Experience_Level,Employment_Type,Work_Models,Work_Year,Employee_Residence,Salary, Salary_Currency ,Company_Location,Company_Size,Salary_Range,Per_Year_Pakage
Data Scientist,Mid-level,Full-time,On-site,2024,Canada,137930, USD ,Canada,Medium,High,1655160
Data Science,Senior-level,Full-time,On-site,2024,United States,138000, USD ,United States,Medium,High,1656000
Data Engineer,Senior-level,Full-time,On-site,2024,United States,138000, USD ,United States,Medium,High,1656000
Data Engineer,Mid-level,Full-time,On-site,2024,United States,138000, USD ,United States,Medium,High,1656000
Research Scientist,Senior-level,Full-time,On-site,2024,United States,138000, USD ,United States,Medium,High,1656000
Data Engineer,Mid-level,Full-time,Remote,2023,United States,138000, USD ,United States,Medium,High,1656000
Data Science,Senior-level,Full-time,On-site,2023,United States,138000, USD ,United States,Medium,High,1656000
Analytics Engineer,Senior-level,Full-time,On-site,2023,United States,138000, USD ,United States,Medium,High,1656000
Data Scientist,Senior-level,Full-time,On-site,2023,United States,138000, USD ,United States,Medium,High,1656000
Data Scientist,Senior-level,Full-time,Remote,2023,United States,138000, USD ,United States,Medium,High,1656000
Data Specialist,Mid-level,Full-time,On-site,2023,United States,138000, USD ,United States,Medium,High,1656000
Data Analyst,Senior-level,Full-time,On-site,2023,United States,138000, USD ,United States,Medium,High,1656000
Machine Learning Engineer,Senior-level,Full-time,On-site,2023,United States,138000, USD ,United States,Medium,High,1656000
Business Intelligence Developer,Senior-level,Full-time,On-site,2023,United States,138000, USD ,United States,Medium,High,1656000
Machine Learning Scientist,Senior-level,Full-time,Remote,2023,United States,138000, USD ,United States,Medium,High,1656000
Data Analyst,Senior-level,Full-time,Remote,2023,United States,138000, USD ,United States,Medium,High,1656000
Data Architect,Senior-level,Full-time,Remote,2023,United Kingdom,138000, USD ,United Kingdom,Medium,High,1656000
Machine Learning Engineer,Entry-level,Full-time,Remote,2020,United States,138000, USD ,United States,Small,High,1656000
Data Analyst,Senior-level,Full-time,Remote,2023,United States,138240, USD ,United States,Medium,High,1658880
Data Engineer,Senior-level,Full-time,On-site,2023,United States,138300, USD ,United States,Medium,High,1659600
Data Scientist,Mid-level,Full-time,Remote,2020,United States,138350, USD ,United States,Medium,High,1660200
Data Scientist,Mid-level,Full-time,On-site,2023,United States,138510, USD ,United States,Medium,High,1662120
