Job_Title,Experience_Level,Employment_Type,Work_Models,Work_Year,Employee_Residence,Salary, Salary_Currency ,Company_Location,Company_Size,Salary_Range,Per_Year_Pakage
ML Engineer,Entry-level,Part-time,Remote,2020,Germany,14000, EUR ,Germany,Small,Low,168000
Data Science,Entry-level,Part-time,Hybrid,2024,Germany,15000, EUR ,Germany,Medium,Low,180000
Data Analyst,Entry-level,Full-time,On-site,2022,Indonesia,15000, USD ,Indonesia,Large,Low,180000
Business Intelligence Developer,Mid-level,Full-time,Remote,2022,Ghana,15000, USD ,Ghana,Medium,Low,180000
Machine Learning Developer,Entry-level,Full-time,Remote,2021,Thailand,15000, USD ,Thailand,Large,Low,180000
Staff Data Analyst,Executive-level,Full-time,On-site,2020,Nigeria,15000, USD ,Canada,Medium,Low,180000
Research Engineer,Entry-level,Full-time,Remote,2022,Russia,15662, EUR ,Russia,Medium,Low,187944
Data Scientist,Entry-level,Full-time,Remote,2023,Ecuador,16000, USD ,Ecuador,Large,Low,192000
Business Data Analyst,Mid-level,Full-time,Remote,2023,Armenia,17000, USD ,Russia,Large,Low,204000
Data Analyst Lead,Entry-level,Full-time,Remote,2023,Nigeria,18000, USD ,Nigeria,Small,Low,216000
Data Engineer,Entry-level,Full-time,Hybrid,2023,India,18000, USD ,India,Medium,Low,216000
Data Scientist,Entry-level,Full-time,Remote,2023,Greece,18000, EUR ,Greece,Large,Low,216000
Big Data Engineer,Mid-level,Full-time,On-site,2021,Moldova,18000, USD ,Moldova,Small,Low,216000
Data Scientist,Entry-level,Part-time,Hybrid,2020,Italy,19000, EUR ,Italy,Small,Low,228000
Applied Scientist,Mid-level,Full-time,Remote,2023,Nigeria,20000, USD ,United States,Large,Low,240000
AI Scientist,Entry-level,Full-time,Remote,2023,Turkey,20000, USD ,Turkey,Small,Low,240000
AI Engineer,Entry-level,Full-time,Hybrid,2023,Portugal,20000, EUR ,Portugal,Large,Low,240000
Business Data Analyst,Entry-level,Full-time,On-site,2023,Spain,20000, EUR ,Spain,Medium,Low,240000
Data Analyst,Entry-level,Full-time,Hybrid,2022,Costa Rica,20000, USD ,United States,Medium,Low,240000
ML Engineer,Entry-level,Full-time,Remote,2022,Portugal,20000, EUR ,Portugal,Large,Low,240000
Data Analytics Engineer,Entry-level,Full-time,On-site,2022,Pakistan,20000, USD ,Pakistan,Medium,Low,240000
Data Analyst,Mid-level,Full-time,Remote,2022,Greece,20000, USD ,Greece,Small,Low,240000
Data Engineer,Mid-level,Freelance,On-site,2021,Italy,20000, USD ,United States,Large,Low,240000
Machine Learning Engineer,Entry-level,Full-time,Remote,2021,India,20000, USD ,India,Small,Low,240000
Machine Learning Research Engineer,Entry-level,Full-time,Hybrid,2021,France,20000, USD ,France,Medium,Low,240000
Data Analyst,Entry-level,Full-time,Remote,2020,Portugal,20000, EUR ,Portugal,Medium,Low,240000
Product Data Analyst,Mid-level,Full-time,On-site,2020,Honduras,20000, USD ,Honduras,Small,Low,240000
Data Science Consultant,Mid-level,Freelance,Remote,2023,Pakistan,21000, USD ,Luxembourg,Small,Low,252000
Machine Learning Engineer,Mid-level,Full-time,Hybrid,2021,Slovenia,21000, EUR ,Slovenia,Large,Low,252000
Machine Learning Engineer,Entry-level,Full-time,Hybrid,2021,Germany,21000, EUR ,Germany,Medium,Low,252000
Data Scientist,Mid-level,Full-time,Remote,2021,Serbia,21600, EUR ,Germany,Small,Low,259200
Machine Learning Engineer,Entry-level,Full-time,Hybrid,2021,Colombia,21844, USD ,Colombia,Medium,Low,262128
Data Quality Engineer,Entry-level,Full-time,Hybrid,2023,Portugal,22000, EUR ,Portugal,Large,Low,264000
Data Engineer,Mid-level,Full-time,On-site,2021,Romania,22000, EUR ,United States,Large,Low,264000
Machine Learning Scientist,Mid-level,Full-time,Remote,2022,Egypt,22800, USD ,Egypt,Medium,Low,273600
Data Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,23000, GBP ,United Kingdom,Medium,Low,276000
Data Science Consultant,Entry-level,Full-time,Hybrid,2022,Italy,23000, EUR ,Italy,Medium,Low,276000
Research Scientist,Mid-level,Full-time,Remote,2022,India,23000, USD ,India,Large,Low,276000
AI Research Engineer,Entry-level,Full-time,Remote,2023,Portugal,23100, EUR ,Portugal,Medium,Low,277200
Data Engineer,Mid-level,Full-time,Remote,2024,United Kingdom,24000, GBP ,United Kingdom,Medium,Low,288000
Data Scientist,Entry-level,Full-time,Remote,2023,United States,24000, USD ,United States,Medium,Low,288000
Data Scientist,Mid-level,Full-time,Remote,2023,Italy,24000, EUR ,Italy,Small,Low,288000
Data Analyst,Entry-level,Part-time,Remote,2022,Spain,24000, EUR ,United States,Large,Low,288000
Data Engineer,Mid-level,Full-time,On-site,2022,United States,24000, USD ,United States,Medium,Low,288000
Data Engineer,Mid-level,Full-time,Hybrid,2021,Malta,24000, EUR ,Malta,Large,Low,288000
Computer Vision Engineer,Senior-level,Full-time,Remote,2021,Brazil,24000, USD ,Brazil,Medium,Low,288000
BI Data Analyst,Entry-level,Full-time,Remote,2023,Ukraine,25000, USD ,Netherlands,Medium,Low,300000
Business Intelligence Developer,Mid-level,Full-time,On-site,2023,United Kingdom,25000, GBP ,United Kingdom,Medium,Low,300000
Insight Analyst,Mid-level,Full-time,On-site,2023,United Kingdom,25000, GBP ,United Kingdom,Medium,Low,300000
Data Engineer,Entry-level,Full-time,Remote,2023,Germany,25000, EUR ,Germany,Large,Low,300000
Data Engineer,Senior-level,Full-time,Remote,2022,United States,25000, USD ,United States,Medium,Low,300000
Data Scientist,Mid-level,Full-time,Hybrid,2022,Turkey,25000, USD ,Turkey,Medium,Low,300000
ML Engineer,Mid-level,Contract,Remote,2023,United States,25500, USD ,United States,Small,Low,306000
Data Science,Entry-level,Full-time,Remote,2024,Romania,26000, USD ,Romania,Large,Low,312000
Data Science Consultant,Entry-level,Full-time,Hybrid,2022,Spain,26000, EUR ,Spain,Large,Low,312000
Data Scientist,Entry-level,Full-time,On-site,2023,United Kingdom,26800, GBP ,United Kingdom,Medium,Low,321600
Data Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,26800, GBP ,United Kingdom,Medium,Low,321600
Data Engineer,Mid-level,Full-time,Remote,2023,Peru,27000, USD ,Portugal,Small,Low,324000
Data Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,27000, GBP ,United Kingdom,Medium,Low,324000
Data Scientist,Entry-level,Full-time,Hybrid,2022,United Kingdom,27000, GBP ,United Kingdom,Large,Low,324000
Data Analyst,Entry-level,Full-time,Hybrid,2022,France,27000, EUR ,France,Medium,Low,324000
Applied Data Scientist,Entry-level,Full-time,Hybrid,2023,Italy,27500, EUR ,Italy,Large,Low,330000
Lead Data Scientist,Senior-level,Full-time,Hybrid,2022,Portugal,28500, EUR ,Portugal,Small,Low,342000
Machine Learning Engineer,Entry-level,Full-time,Remote,2022,United Kingdom,28500, GBP ,United Kingdom,Large,Low,342000
Data Scientist,Entry-level,Full-time,On-site,2023,Spain,29000, EUR ,Spain,Medium,Low,348000
Applied Machine Learning Scientist,Entry-level,Contract,Remote,2022,Tunisia,29000, EUR ,Czech Republic,Medium,Low,348000
Data Engineer,Entry-level,Full-time,On-site,2024,United Kingdom,30000, GBP ,United Kingdom,Medium,Low,360000
ML Engineer,Mid-level,Contract,Remote,2023,United States,30000, USD ,United States,Small,Low,360000
Data Analyst,Entry-level,Full-time,Remote,2023,Argentina,30000, USD ,United States,Small,Low,360000
Data Scientist,Entry-level,Full-time,On-site,2023,Netherlands,30000, EUR ,Netherlands,Large,Low,360000
Compliance Data Analyst,Entry-level,Full-time,Remote,2023,Nigeria,30000, USD ,Nigeria,Large,Low,360000
Data Analyst,Entry-level,Full-time,Hybrid,2023,India,30000, USD ,India,Medium,Low,360000
Data Scientist,Mid-level,Full-time,On-site,2023,United Kingdom,30000, GBP ,United Kingdom,Medium,Low,360000
Data Quality Analyst,Entry-level,Full-time,Remote,2023,United Kingdom,30000, GBP ,United Kingdom,Medium,Low,360000
Data Analyst,Senior-level,Full-time,Remote,2023,United Kingdom,30000, GBP ,United Kingdom,Small,Low,360000
Research Engineer,Entry-level,Full-time,On-site,2023,France,30000, EUR ,France,Medium,Low,360000
Data Scientist,Mid-level,Full-time,Remote,2022,Mexico,30000, USD ,Mexico,Large,Low,360000
Data Analyst,Mid-level,Full-time,Remote,2022,Greece,30000, EUR ,Greece,Medium,Low,360000
AI Research Engineer,Entry-level,Full-time,Remote,2022,United Kingdom,30000, GBP ,United Kingdom,Large,Low,360000
Machine Learning Engineer,Entry-level,Full-time,Remote,2022,United Kingdom,30000, USD ,United Kingdom,Large,Low,360000
Data Analyst,Mid-level,Full-time,Remote,2022,United Kingdom,30000, GBP ,United Kingdom,Medium,Low,360000
Data Scientist,Mid-level,Full-time,On-site,2022,United Kingdom,30000, GBP ,United Kingdom,Medium,Low,360000
AI Scientist,Entry-level,Full-time,Remote,2022,Portugal,30000, EUR ,Spain,Medium,Low,360000
Data Scientist,Entry-level,Full-time,Hybrid,2022,Spain,30000, EUR ,Spain,Medium,Low,360000
Data Analyst,Mid-level,Full-time,Remote,2022,Spain,30000, EUR ,Spain,Medium,Low,360000
Head of Data,Mid-level,Full-time,Remote,2022,Estonia,30000, EUR ,Estonia,Small,Low,360000
AI Scientist,Mid-level,Full-time,On-site,2021,Ghana,30000, USD ,Ghana,Small,Low,360000
AI Engineer,Mid-level,Full-time,Remote,2023,Spain,30390, EUR ,Spain,Large,Low,364680
Data Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,30839, GBP ,United Kingdom,Medium,Low,370068
Data Scientist,Entry-level,Full-time,Hybrid,2021,France,31000, EUR ,France,Large,Low,372000
Data Analyst,Mid-level,Full-time,On-site,2023,Estonia,31200, EUR ,Estonia,Medium,Low,374400
Research Engineer,Entry-level,Full-time,On-site,2023,South Africa,31396, GBP ,South Africa,Medium,Low,376752
Data Engineer,Mid-level,Full-time,On-site,2023,United Kingdom,32000, GBP ,United Kingdom,Medium,Low,384000
Data Scientist,Mid-level,Full-time,Remote,2021,Spain,32000, EUR ,Spain,Large,Low,384000
Research Engineer,Entry-level,Full-time,On-site,2023,South Africa,32982, GBP ,South Africa,Medium,Low,395784
Business Intelligence Analyst,Senior-level,Full-time,On-site,2023,United Kingdom,33000, GBP ,United Kingdom,Medium,Low,396000
Machine Learning Developer,Entry-level,Full-time,Remote,2022,Italy,33000, USD ,Germany,Small,Low,396000
Machine Learning Scientist,Entry-level,Full-time,Remote,2022,Italy,33000, EUR ,Germany,Small,Low,396000
Data Engineer,Entry-level,Full-time,Hybrid,2021,United Kingdom,33000, GBP ,United Kingdom,Large,Low,396000
AI Engineer,Mid-level,Full-time,On-site,2023,United Kingdom,33063, GBP ,United Kingdom,Medium,Low,396756
Data Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,33995, GBP ,United Kingdom,Medium,Low,407940
Data Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,34000, GBP ,United Kingdom,Medium,Low,408000
Data Science Engineer,Mid-level,Full-time,Remote,2021,Greece,34000, EUR ,Greece,Medium,Low,408000
Data Scientist,Mid-level,Full-time,Remote,2020,Spain,34000, EUR ,Spain,Medium,Low,408000
Business Intelligence Engineer,Mid-level,Full-time,On-site,2023,United Kingdom,34160, GBP ,United Kingdom,Medium,Low,409920
Data Analyst,Entry-level,Full-time,On-site,2023,Australia,34160, GBP ,Australia,Medium,Low,409920
Data Analyst,Entry-level,Part-time,Remote,2022,United States,34320, USD ,United States,Small,Low,411840
Analytics Engineer,Entry-level,Full-time,Remote,2023,Netherlands,34800, EUR ,Netherlands,Medium,Low,417600
Data Analyst,Mid-level,Full-time,On-site,2024,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Data Analyst,Entry-level,Full-time,Remote,2024,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Business Data Analyst,Mid-level,Contract,Remote,2023,Philippines,35000, USD ,United States,Medium,Low,420000
Data Engineer,Senior-level,Full-time,On-site,2023,Portugal,35000, EUR ,Portugal,Medium,Low,420000
Data Scientist,Mid-level,Full-time,On-site,2023,India,35000, USD ,India,Large,Low,420000
Business Intelligence Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Data Scientist,Mid-level,Full-time,On-site,2023,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Business Intelligence Engineer,Mid-level,Full-time,On-site,2023,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Insight Analyst,Mid-level,Full-time,On-site,2023,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Data Engineer,Mid-level,Full-time,Remote,2023,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Data Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Data Engineer,Entry-level,Full-time,Remote,2023,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Research Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Data Analyst,Mid-level,Full-time,On-site,2023,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
AI Engineer,Entry-level,Full-time,Remote,2023,Croatia,35000, USD ,Germany,Medium,Low,420000
Data Analyst,Senior-level,Full-time,Remote,2023,Central African Republic,35000, GBP ,Central African Republic,Medium,Low,420000
Data Engineer,Senior-level,Full-time,On-site,2022,Portugal,35000, EUR ,Portugal,Medium,Low,420000
Data Engineer,Senior-level,Full-time,Remote,2022,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Data Scientist,Mid-level,Full-time,On-site,2022,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Data Engineer,Entry-level,Full-time,Remote,2022,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Data Analyst,Mid-level,Full-time,On-site,2022,United Kingdom,35000, GBP ,United Kingdom,Medium,Low,420000
Data Engineer,Senior-level,Full-time,On-site,2022,Spain,35000, EUR ,Spain,Medium,Low,420000
Data Analyst,Senior-level,Full-time,On-site,2022,Spain,35000, EUR ,Spain,Medium,Low,420000
Data Scientist,Entry-level,Full-time,On-site,2020,France,35000, EUR ,France,Medium,Low,420000
Data Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,35700, GBP ,United Kingdom,Medium,Low,428400
Machine Learning Engineer,Entry-level,Full-time,Remote,2023,Uganda,36000, USD ,United States,Medium,Low,432000
Data Analyst,Mid-level,Full-time,Remote,2023,United States,36000, USD ,United States,Medium,Low,432000
Data Analyst,Mid-level,Full-time,On-site,2023,Slovenia,36000, EUR ,Slovenia,Medium,Low,432000
Lead Data Scientist,Senior-level,Full-time,Remote,2023,Russia,36000, USD ,Russia,Large,Low,432000
AI Engineer,Senior-level,Full-time,On-site,2023,Romania,36000, EUR ,Romania,Medium,Low,432000
Applied Scientist,Mid-level,Full-time,Hybrid,2023,Nigeria,36000, USD ,Nigeria,Medium,Low,432000
Machine Learning Engineer,Mid-level,Full-time,Remote,2023,Mexico,36000, USD ,Mexico,Small,Low,432000
Data Scientist,Senior-level,Full-time,On-site,2023,Latvia,36000, EUR ,Latvia,Medium,Low,432000
Machine Learning Engineer,Senior-level,Full-time,On-site,2023,Latvia,36000, EUR ,Latvia,Medium,Low,432000
Business Data Analyst,Mid-level,Freelance,On-site,2023,Ghana,36000, USD ,Ghana,Small,Low,432000
Data Analyst,Mid-level,Full-time,Remote,2023,United Kingdom,36000, GBP ,United Kingdom,Medium,Low,432000
Data Scientist,Senior-level,Full-time,On-site,2023,Spain,36000, EUR ,Spain,Medium,Low,432000
Machine Learning Engineer,Mid-level,Full-time,Remote,2023,Spain,36000, EUR ,Spain,Large,Low,432000
AI Scientist,Mid-level,Full-time,Hybrid,2023,Spain,36000, EUR ,Spain,Large,Low,432000
Data Analyst,Mid-level,Full-time,On-site,2023,Estonia,36000, EUR ,Estonia,Medium,Low,432000
Data Analyst,Senior-level,Full-time,On-site,2023,Estonia,36000, EUR ,Estonia,Medium,Low,432000
Data Scientist,Senior-level,Full-time,On-site,2022,Spain,36000, EUR ,Spain,Medium,Low,432000
Data Analyst,Mid-level,Full-time,Remote,2023,United Kingdom,36050, GBP ,United Kingdom,Medium,Low,432600
Data Analyst,Mid-level,Full-time,On-site,2023,United Kingdom,36050, GBP ,United Kingdom,Medium,Low,432600
Data Engineer,Mid-level,Full-time,Remote,2024,United Kingdom,37000, GBP ,United Kingdom,Medium,Low,444000
Data Scientist,Mid-level,Full-time,Hybrid,2020,France,37000, EUR ,France,Small,Low,444000
Data Scientist,Mid-level,Full-time,On-site,2023,Latvia,37440, EUR ,Latvia,Medium,Low,449280
Data Analyst,Mid-level,Full-time,Hybrid,2021,United Kingdom,37456, GBP ,United Kingdom,Large,Low,449472
Data Lead,Senior-level,Full-time,On-site,2023,United States,38000, USD ,United States,Medium,Low,456000
Data Analyst,Mid-level,Full-time,On-site,2023,United Kingdom,38000, GBP ,United Kingdom,Medium,Low,456000
Machine Learning Engineer,Mid-level,Full-time,Remote,2023,United Kingdom,38000, GBP ,United Kingdom,Medium,Low,456000
Data Scientist,Senior-level,Full-time,On-site,2023,Spain,38000, EUR ,Spain,Medium,Low,456000
Data Engineer,Entry-level,Full-time,Remote,2023,Spain,38000, EUR ,Spain,Large,Low,456000
Data Analyst,Senior-level,Full-time,On-site,2023,Spain,38000, EUR ,Spain,Medium,Low,456000
Data Scientist,Senior-level,Full-time,Remote,2022,United States,38000, USD ,United States,Medium,Low,456000
Data Scientist,Entry-level,Full-time,Hybrid,2022,France,38000, EUR ,France,Large,Low,456000
Data Analyst,Senior-level,Full-time,On-site,2022,Spain,38000, EUR ,Spain,Medium,Low,456000
Business Intelligence Engineer,Mid-level,Full-time,On-site,2023,United Kingdom,38393, GBP ,United Kingdom,Medium,Low,460716
Data Analyst,Entry-level,Full-time,On-site,2023,Australia,38393, GBP ,Australia,Medium,Low,460716
Applied Machine Learning Scientist,Mid-level,Full-time,Remote,2021,Vietnam,38400, USD ,United States,Medium,Low,460800
Data Engineer,Mid-level,Full-time,Remote,2021,Netherlands,38400, EUR ,Netherlands,Large,Low,460800
Data Analyst,Entry-level,Full-time,On-site,2023,United States,39000, GBP ,United States,Medium,Low,468000
Data Analyst,Mid-level,Full-time,Hybrid,2023,Germany,39000, EUR ,Germany,Medium,Low,468000
Data Scientist,Mid-level,Full-time,Remote,2021,Spain,39600, EUR ,Spain,Medium,Low,475200
Data Engineer,Entry-level,Full-time,On-site,2024,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Analyst,Mid-level,Full-time,On-site,2024,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Analyst,Entry-level,Full-time,Remote,2024,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Analyst,Entry-level,Full-time,Remote,2023,United States,40000, USD ,United States,Medium,Low,480000
Data Scientist,Entry-level,Full-time,Remote,2023,Uzbekistan,40000, USD ,United States,Medium,Low,480000
Insight Analyst,Mid-level,Full-time,Remote,2023,Portugal,40000, EUR ,Portugal,Medium,Low,480000
Data Analyst,Mid-level,Full-time,Remote,2023,Portugal,40000, EUR ,Portugal,Medium,Low,480000
Data Engineer,Mid-level,Full-time,Remote,2023,Poland,40000, EUR ,Poland,Large,Low,480000
Finance Data Analyst,Entry-level,Full-time,On-site,2023,Nigeria,40000, USD ,Nigeria,Small,Low,480000
AI Programmer,Entry-level,Full-time,On-site,2023,South Korea,40000, USD ,South Korea,Small,Low,480000
Data Quality Manager,Mid-level,Full-time,On-site,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Business Intelligence Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Business Intelligence Engineer,Senior-level,Full-time,On-site,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Scientist,Mid-level,Full-time,On-site,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Quality Analyst,Entry-level,Full-time,Remote,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Engineer,Mid-level,Full-time,On-site,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Analyst,Mid-level,Full-time,On-site,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Engineer,Mid-level,Full-time,Remote,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Engineer,Entry-level,Full-time,Remote,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Scientist,Mid-level,Full-time,Remote,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
BI Developer,Mid-level,Full-time,On-site,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Machine Learning Engineer,Mid-level,Full-time,Remote,2023,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Machine Learning Specialist,Mid-level,Full-time,Remote,2023,France,40000, USD ,France,Medium,Low,480000
Data Scientist,Mid-level,Full-time,Hybrid,2023,France,40000, USD ,France,Large,Low,480000
Data Scientist,Entry-level,Full-time,On-site,2023,Spain,40000, EUR ,Spain,Medium,Low,480000
Applied Machine Learning Scientist,Entry-level,Full-time,Hybrid,2023,Germany,40000, EUR ,Germany,Medium,Low,480000
Data Engineer,Senior-level,Full-time,On-site,2022,Portugal,40000, EUR ,Portugal,Medium,Low,480000
Applied Data Scientist,Entry-level,Full-time,Remote,2022,Australia,40000, USD ,Pakistan,Medium,Low,480000
Data Scientist,Entry-level,Full-time,Remote,2022,Japan,40000, USD ,Malaysia,Large,Low,480000
Data Analyst,Mid-level,Full-time,Remote,2022,Greece,40000, EUR ,Greece,Medium,Low,480000
Deep Learning Engineer,Mid-level,Full-time,Remote,2022,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Engineer,Entry-level,Full-time,Remote,2022,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Analyst,Mid-level,Full-time,Remote,2022,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Engineer,Mid-level,Full-time,On-site,2022,United Kingdom,40000, GBP ,United Kingdom,Medium,Low,480000
Data Engineer,Senior-level,Full-time,On-site,2022,Spain,40000, EUR ,Spain,Medium,Low,480000
Data Analyst,Mid-level,Full-time,Remote,2022,Spain,40000, EUR ,Spain,Medium,Low,480000
AI Programmer,Entry-level,Full-time,Remote,2022,Pakistan,40000, USD ,Australia,Medium,Low,480000
Machine Learning Developer,Entry-level,Full-time,Remote,2022,Pakistan,40000, USD ,Australia,Medium,Low,480000
Machine Learning Engineer,Mid-level,Full-time,Remote,2021,Spain,40000, EUR ,Spain,Small,Low,480000
Machine Learning Engineer,Senior-level,Full-time,Remote,2020,Croatia,40000, EUR ,Croatia,Small,Low,480000
Data Analyst,Entry-level,Full-time,On-site,2023,United States,40400, USD ,United States,Large,Low,484800
Data Engineer,Senior-level,Full-time,On-site,2023,Estonia,40800, EUR ,Estonia,Medium,Low,489600
Data Scientist,Mid-level,Full-time,Hybrid,2021,United Kingdom,40900, GBP ,United Kingdom,Large,Low,490800
Data Analyst,Mid-level,Full-time,Hybrid,2020,France,41000, EUR ,France,Large,Low,492000
Data Specialist,Mid-level,Full-time,On-site,2024,United Kingdom,41027, GBP ,United Kingdom,Medium,Low,492324
Data Analyst,Entry-level,Full-time,Remote,2024,United States,41419, USD ,United States,Medium,Low,497028
Data Analyst,Entry-level,Full-time,Remote,2023,United States,41419, USD ,United States,Medium,Low,497028
Research Analyst,Senior-level,Full-time,Remote,2023,Spain,41818, EUR ,Spain,Medium,Low,501816
Insight Analyst,Mid-level,Full-time,On-site,2023,United Kingdom,42000, GBP ,United Kingdom,Medium,Low,504000
Data Science Consultant,Mid-level,Full-time,On-site,2023,United Kingdom,42000, GBP ,United Kingdom,Medium,Low,504000
Data Scientist,Mid-level,Full-time,On-site,2023,United Kingdom,42000, GBP ,United Kingdom,Medium,Low,504000
Data Science Consultant,Mid-level,Full-time,On-site,2022,United Kingdom,42000, GBP ,United Kingdom,Medium,Low,504000
Data Engineer,Mid-level,Full-time,Remote,2022,Brazil,42000, USD ,Brazil,Medium,Low,504000
Data Scientist,Entry-level,Full-time,Hybrid,2021,France,42000, EUR ,France,Medium,Low,504000
Research Scientist,Entry-level,Full-time,Hybrid,2020,Netherlands,42000, USD ,Netherlands,Large,Low,504000
Data Engineer,Senior-level,Full-time,Hybrid,2020,Greece,42000, EUR ,Greece,Large,Low,504000
Data Analyst,Entry-level,Full-time,On-site,2020,Germany,42000, EUR ,Germany,Large,Low,504000
Data Analyst,Mid-level,Full-time,On-site,2024,United States,42400, USD ,United States,Medium,Low,508800
Data Analyst,Mid-level,Full-time,On-site,2023,United States,42400, USD ,United States,Medium,Low,508800
Data Analyst,Mid-level,Full-time,On-site,2023,Slovenia,43000, EUR ,Slovenia,Medium,Low,516000
Analytics Engineer,Entry-level,Full-time,On-site,2023,Hungary,43000, USD ,Hungary,Large,Low,516000
Machine Learning Engineer,Mid-level,Full-time,Hybrid,2021,Italy,43200, EUR ,Italy,Large,Low,518400
Data Scientist,Entry-level,Full-time,On-site,2020,Germany,43200, EUR ,Germany,Small,Low,518400
Research Analyst,Entry-level,Full-time,Remote,2023,United States,43500, USD ,United States,Medium,Low,522000
Data Analyst,Entry-level,Full-time,On-site,2023,United Kingdom,44000, GBP ,United Kingdom,Medium,Low,528000
Machine Learning Infrastructure Engineer,Mid-level,Full-time,On-site,2020,Portugal,44000, EUR ,Portugal,Medium,Low,528000
Business Intelligence Analyst,Entry-level,Full-time,On-site,2023,United States,44100, USD ,United States,Medium,Low,529200
Research Analyst,Senior-level,Full-time,Remote,2023,Italy,44272, EUR ,Italy,Medium,Low,531264
Data Operations Analyst,Mid-level,Full-time,Remote,2023,United States,44640, USD ,United States,Medium,Low,535680
Data Manager,Senior-level,Full-time,On-site,2023,United Kingdom,44737, GBP ,United Kingdom,Medium,Low,536844
Business Intelligence Analyst,Entry-level,Full-time,On-site,2024,United Kingdom,45000, GBP ,United Kingdom,Medium,Low,540000
Research Analyst,Entry-level,Full-time,On-site,2023,United States,45000, USD ,United States,Medium,Low,540000
Data Engineer,Mid-level,Full-time,Remote,2023,Slovenia,45000, EUR ,Slovenia,Medium,Low,540000
Data Analyst,Mid-level,Full-time,Remote,2023,Portugal,45000, EUR ,Portugal,Medium,Low,540000
Business Intelligence Developer,Mid-level,Full-time,On-site,2023,United Kingdom,45000, GBP ,United Kingdom,Medium,Low,540000
Data Scientist,Mid-level,Full-time,On-site,2023,United Kingdom,45000, GBP ,United Kingdom,Medium,Low,540000
Insight Analyst,Mid-level,Full-time,On-site,2023,United Kingdom,45000, GBP ,United Kingdom,Medium,Low,540000
Data Engineer,Senior-level,Full-time,On-site,2023,United Kingdom,45000, GBP ,United Kingdom,Medium,Low,540000
Data Analyst,Mid-level,Full-time,On-site,2023,United Kingdom,45000, GBP ,United Kingdom,Medium,Low,540000
Data Engineer,Mid-level,Full-time,On-site,2023,United Kingdom,45000, GBP ,United Kingdom,Medium,Low,540000
Data Analyst,Mid-level,Full-time,Remote,2023,United Kingdom,45000, GBP ,United Kingdom,Medium,Low,540000
Machine Learning Engineer,Mid-level,Full-time,Remote,2023,Italy,45000, EUR ,United Kingdom,Medium,Low,540000
Data Scientist,Mid-level,Full-time,Remote,2023,United Kingdom,45000, GBP ,United Kingdom,Medium,Low,540000
Data Modeller,Mid-level,Full-time,On-site,2023,United Kingdom,45000, GBP ,United Kingdom,Medium,Low,540000
